channel,mode,p1,p2,p3,p4
1,burst,6000,4,100,0.2
2,burst,6000,4,100,0.2
3,burst,6000,4,100,0.2
4,burst,6000,4,100,0.2
5,burst,6000,4,100,0.2
6,burst,6000,4,100,0.2
7,burst,6000,4,100,0.2
8,burst,6000,4,100,0.2
9,burst,6000,4,100,0.2
10,burst,6000,4,100,0.2
11,burst,6000,4,100,0.2
12,burst,6000,4,100,0.2
13,burst,6000,4,100,0.2
14,burst,6000,4,100,0.2
15,burst,6000,4,100,0.2
16,burst,6000,4,100,0.2
